,Lattitude,Longitude
0,42.4221155,-94.9885843
1,37.0027644,-101.89733
2,37.7790262,-122.419906
3,40.7127281,-74.0060152
4,37.2333253,-121.6846349
5,39.892229,-99.707058
6,30.4057552,-86.618842
7,38.4095298,-82.2945923
8,41.7799242,-98.6785815
9,40.735657,-74.1723667
10,41.5628294,-83.6538244
11,38.1144867,-82.6030988
12,33.3721434,-95.6877086
13,41.8755616,-87.6244212
14,37.265854,-97.7656092
15,39.0272663,-88.8481139
16,43.0349931,-87.922497
17,29.9759983,-90.0782127
18,40.613474,-111.8256464
19,41.8755616,-87.6244212
20,39.6534464,-75.5165881
21,35.5006417,-94.0515919
22,32.9837394,-84.5827031
23,40.0908111,-75.3832484
24,35.1460249,-90.0517638
25,43.0349931,-87.922497
26,46.1377048,-122.934462
27,33.3975472,-84.5898256
28,39.7392364,-104.984862
29,41.8755616,-87.6244212
30,18.465299,-66.116666
31,33.7489924,-84.3902644
32,41.8755616,-87.6244212
33,30.7621326,-86.5705084
34,44.1634663,-93.9993505
35,33.7288179,-116.382571
36,41.8755616,-87.6244212
37,39.6980597,-76.0628964
38,41.8755616,-87.6244212
39,33.6676103,-84.0176904
40,36.7692966,-99.1133631
41,26.1223084,-80.1433786
42,41.5058344,-90.5136642
43,39.5355063,-76.3490396
44,39.1014537,-84.5124602
45,41.8505874,-87.7936685
46,32.9585379,-81.2372124
47,40.1784422,-75.1285061
48,39.0017455,-77.4033349
49,43.6166163,-116.200886
50,35.532198,-97.9550578
51,41.8847507,-88.2039607
52,30.1734194,-95.504686
53,30.9568503,-85.5165993
54,26.3013982,-98.1624501
55,41.1792695,-73.1887863
56,33.4484367,-112.074141
57,35.649791,-88.1267025
58,44.9596017,-89.6298239
59,26.640628,-81.8723084
60,35.8681455,-83.561835
61,36.2005843,-115.121584
62,42.5846773,-87.8212263
63,33.4942189,-111.926018
64,30.8327022,-83.2784851
65,35.595363,-82.5508407
66,33.7514966,-84.7477136
67,35.2590371,-77.6484879
68,30.7743596,-85.2268735
69,30.1654707,-81.7016346
70,38.0464066,-84.4970393
71,33.3710715,-111.42618498017515
72,33.039291,-85.0313269
73,41.8755616,-87.6244212
74,45.2332985,-93.2913405
75,47.2258172,-122.5371325
76,38.1758645,-92.7843553
77,34.1092735,-83.7626729
78,41.368092,-89.4648145
79,28.1511243,-82.4614831
80,40.0448306,-75.4388053
81,38.7098314,-93.2295515
82,26.2048464,-80.27080479659301
83,30.3935337,-86.4957834
84,41.4445334,-87.6313829
85,38.6280278,-90.1910154
86,44.8322405,-93.3204872
87,42.3636331,-87.8447938
88,33.3254635,-83.6868559
89,41.8755616,-87.6244212
90,38.966673,-94.6169012
91,34.1014112,-84.5192192
92,34.1206564,-84.0043513
93,26.1421976,-81.7942944
94,39.2255213,-92.8435384
95,32.1874042,-82.5656886
96,35.2831727,-86.3739827
97,33.9528472,-84.5496148
98,29.6487882,-81.6372111
99,34.3387802,-78.7030721
100,41.7680851,-88.8770311
101,32.7884363,-79.9399309
102,35.9471931,-97.9641244
103,33.1731716,-86.2516406
104,26.217305,-80.2258811
105,33.7288179,-116.382571
106,33.4293486,-79.1215912
107,45.0984983,-93.4419222
108,39.1399187,-77.1929215
109,38.5714624,-76.0763177
110,40.8509333,-73.9701382
111,42.3222599,-83.1763145
112,42.0887132,-87.7025069
113,34.8242442,-85.2427323
114,41.8755616,-87.6244212
115,33.8981579,-84.2832564
116,45.9763545,-94.3625024
117,32.2379098,-84.3089928
118,39.5214373,-85.7769238
119,42.0427256,-88.0792782
120,35.9603948,-83.9210261
121,45.279106,-92.9851629
122,35.1680139,-86.1084401
123,30.3321838,-81.655651
124,39.8309418,-75.4396925
125,33.5442781,-84.2338093
126,29.0625783,-82.0495108
127,33.4484367,-112.074141
128,30.7621326,-86.5705084
129,30.309246,-89.91960055786026
130,41.6731523,-93.6973395
131,34.0026005,-85.0416133
132,37.104153,-113.584131
133,41.2587459,-95.9383758
134,42.0415823,-87.8873916
135,39.6172101,-104.950814
136,33.5215013,-84.3538128
137,30.8736613,-84.5740953
138,27.9658533,-82.8001026
139,41.1998568,-90.7486349
140,40.6584358,-74.2995923
141,35.595363,-82.5508407
142,33.0095802,-83.5337816
143,37.2417147,-90.9687356
144,45.3363551,-92.9971631
145,33.0136764,-96.6925096
146,39.2615606,-121.0160594
147,36.8448348,-76.2863999
148,30.6324149,-87.0396881
149,34.1014112,-84.5192192
150,34.2073196,-84.1401926
151,41.8875281,-88.3053525
152,32.4490141,-81.7832912
153,26.6279798,-80.4494174
154,40.1226101,-75.0635049
155,38.8838856,-94.81887
156,46.8801655,-117.364349
157,41.5200305,-88.2017293
158,37.970495,-87.5715641
159,34.0003117,-81.0331309
160,37.5385087,-77.43428
161,40.4233142,-104.7091322
162,27.3365805,-82.5308545
163,27.7729445,-82.39813752699379
164,34.539984,-112.468812
165,27.2939333,-80.3503283
166,33.5442781,-84.2338093
167,33.7489924,-84.3902644
168,40.4774818,-104.901361
169,39.3722552,-104.858682
170,41.8755616,-87.6244212
171,33.5204959,-84.3591713
172,27.9477595,-82.458444
173,34.1282559,-83.5753386
174,32.7884363,-79.9399309
175,48.0074736,-121.7304882
176,48.4738136,-122.330453
177,34.3678642,-83.2156575
178,32.8406946,-83.6324022
179,28.3194741,-80.6102592
180,42.5972563,-82.8779754
181,30.8327022,-83.2784851
182,33.9237141,-84.8407732
183,28.5552719,-82.3878709
184,28.6000625,-81.34274384364849
185,32.7326356,-89.5361825
186,44.7391873,-93.12611
187,33.5206824,-86.8024326
188,33.5206824,-86.8024326
189,34.6839746,-84.4727049
190,34.1652304,-84.7997613
191,36.1672559,-115.148516
192,41.8096132,-87.900671
193,41.9633625,-87.9789562
194,43.0349931,-87.922497
195,34.5034796,-97.1188924
196,41.9139808,-88.3128183
197,35.3540209,-120.375716
198,38.2971367,-122.2855293
